iter	Passed	Remaining
944	1657201	96450
945	1659381	94721
946	1661954	93013
947	1664030	91275
948	1666078	89536
949	1668005	87789
950	1670818	86088
951	1673116	84358
952	1674842	82599
953	1676556	80840
954	1678281	79081
955	1680034	77323
956	1681799	75566
957	1683466	73805
958	1685113	72043
959	1686765	70281
960	1688461	68522
961	1690235	66766
962	1691972	65008
963	1693763	63252
964	1695375	61490
965	1697001	59728
966	1698679	57969
967	1700260	56206
968	1701936	54447
969	1703590	52688
970	1705323	50931
971	1706981	49172
972	1708591	47412
973	1710220	45652
974	1711829	43893
975	1713493	42135
976	1715205	40378
977	1716833	38619
978	1718476	36862
979	1720151	35105
980	1721753	33346
981	1723335	31588
982	1724951	29831
983	1726566	28074
984	1728187	26317
985	1729871	24562
986	1731493	22805
987	1733126	21050
988	1734860	19295
989	1736541	17540
990	1738226	15786
991	1739960	14031
992	1741662	12277
993	1743284	10522
994	1744919	8768
995	1746618	7014
996	1748474	5261
997	1750139	3507
998	1751803	1753
999	1753472	0
